"id","domain","evidenceKey","previousCompletionStatus","currentCompletionStatus","previousReviewerDecision","currentReviewerDecision","evidenceReference","sourceUrlOrDocument","dateSubmitted","acceptedForStaging","productionApproved","canApproveProduction"
"ilm-mate-v1-quran-source_identity-evidence-record","quran","source_identity","not-submitted","submitted","pending","pending","NOOR-S27.2-TRIAL-QURAN-SOURCE-IDENTITY","local://muslim-companion-poc/content/quran/MANIFEST.md","2026-05-01","false","false","false"
"ilm-mate-v1-tafseer-source_identity-evidence-record","tafseer","source_identity","not-submitted","submitted","pending","pending","NOOR-S27.2-TRIAL-TAFSEER-SOURCE-IDENTITY","local://muslim-companion-poc/content/tafsir/MANIFEST.md","2026-05-01","false","false","false"
"ilm-mate-v1-hadith-source_identity-evidence-record","hadith","source_identity","not-submitted","submitted","pending","pending","NOOR-S27.2-TRIAL-HADITH-SOURCE-IDENTITY","local://muslim-companion-poc/content/hadith/MANIFEST.md","2026-05-01","false","false","false"
